이닝,공격팀구분,타자명,투수명,투구ID,상대타석내구수,구종(stuff),구속(speed),좌우위치(crossPlateX),상하위치(crossPlateY),S존상단(topSz),S존하단(bottomSz),타자타석방향(stance),초속X(vx0),초속Y(vy0),초속Z(vz0),가속도X(ax),가속도Y(ay),가속도Z(az),텍스트로그
6,Home,N/A,류현진,260506_201923,2,직구,144.0,-0.910597,0.7083,3.453,1.675,R,-7.76628,-128.304,-5.30469,10.6018,24.4734,-14.3969,
6,Home,나성범,류현진,260506_202131,2,커터,139.0,-0.366248,0.7083,3.344,1.622,L,-5.15933,-124.983,-3.29606,3.0507,23.392,-20.0378,나성범 : 삼진 아웃
6,Home,김선빈,류현진,260506_201737,3,커터,135.0,0.818508,0.7083,3.045,1.477,R,-2.8216,-122.223,-4.13555,1.85339,23.6411,-24.5846,김선빈 : 삼진 아웃
6,Home,N/A,류현진,260506_201949,3,체인지업,131.0,0.596041,0.7083,3.453,1.675,R,-6.59393,-117.141,-1.30065,16.9086,21.2178,-23.1523,
6,Home,나성범,류현진,260506_202200,3,직구,144.0,-0.257404,0.7083,3.344,1.622,L,-6.00794,-128.858,-2.69756,10.3284,27.4447,-11.5371,나성범 : 삼진 아웃
6,Home,나성범,류현진,260506_202220,4,체인지업,133.0,0.915207,0.7083,3.344,1.622,L,-4.17478,-119.935,-4.83389,11.4417,24.2631,-18.3516,나성범 : 삼진 아웃
6,Home,나성범,류현진,260506_202254,5,직구,144.0,0.145662,0.7083,3.344,1.622,L,-6.71021,-129.592,-3.07662,17.3584,30.3821,-16.2216,나성범 : 삼진 아웃
6,Home,나성범,류현진,260506_202318,6,스위퍼,127.0,-2.58605,0.7083,3.344,1.622,L,-7.15724,-113.628,-4.10559,-9.38582,24.7594,-33.9992,나성범 : 삼진 아웃
6,Home,나성범,류현진,260506_202341,7,커터,138.0,-0.289976,0.7083,3.344,1.622,L,-5.34192,-124.286,-1.41075,3.70349,24.1138,-24.3252,나성범 : 삼진 아웃
6,Home,나성범,류현진,260506_202408,8,직구,146.0,-0.800483,0.7083,3.344,1.622,L,-8.24461,-131.002,-6.46291,12.9742,26.1629,-16.5476,나성범 : 삼진 아웃
7,Away,페라자,장재혁,260506_202652,1,직구,145.0,-0.246252,0.7083,3.25,1.576,L,2.41995,-130.007,-0.04895,-0.365157,28.3138,-19.5061,페라자 : 중견수 플라이 아웃
7,Away,문현빈,장재혁,260506_202849,1,슬라이더,133.0,0.266772,0.7083,3.17,1.537,L,3.73042,-119.044,-3.06412,-2.90549,18.272,-36.8586,문현빈 : 볼넷
7,Away,강백호,장재혁,260506_203028,1,직구,146.0,0.121016,0.7083,3.333,1.616,L,4.81822,-130.798,-8.44358,-9.40091,26.2399,-22.4687,강백호 : 중견수 플라이 아웃
7,Away,노시환,장재혁,260506_203240,1,슬라이더,133.0,0.244676,0.7083,3.364,1.631,R,4.07184,-119.378,-3.86177,-5.1647,22.5996,-38.3441,노시환 : 유격수 땅볼 아웃 (유격수->1루수 송구아웃)
7,Away,페라자,장재혁,260506_202711,2,슬라이더,132.0,0.061173,0.7083,3.25,1.576,L,2.4046,-117.951,1.96871,0.910279,20.3326,-42.3034,페라자 : 중견수 플라이 아웃
7,Away,문현빈,장재혁,260506_202908,2,슬라이더,132.0,-0.510598,0.7083,3.17,1.537,L,1.17034,-117.694,5.16784,-0.440567,20.6445,-40.7089,문현빈 : 볼넷
7,Away,강백호,장재혁,260506_203052,2,직구,145.0,-0.229437,0.7083,3.333,1.616,L,4.24028,-130.412,-6.24471,-9.32791,25.6468,-21.6829,강백호 : 중견수 플라이 아웃
7,Away,노시환,장재혁,260506_203310,2,슬라이더,133.0,0.983756,0.7083,3.364,1.631,R,4.8825,-119.434,-2.71176,-2.59973,23.9004,-36.0877,노시환 : 유격수 땅볼 아웃 (유격수->1루수 송구아웃)
7,Away,페라자,장재혁,260506_202728,3,슬라이더,131.0,1.46773,0.7083,3.25,1.576,L,5.98035,-118.083,-4.46223,-0.418643,23.9654,-39.5686,페라자 : 중견수 플라이 아웃
7,Away,문현빈,장재혁,260506_202927,3,직구,146.0,0.63915,0.7083,3.17,1.537,L,4.81028,-131.211,-8.62698,-2.3341,27.5029,-21.271,문현빈 : 볼넷
7,Away,강백호,장재혁,260506_203153,3,직구,146.0,-0.21294,0.7083,3.333,1.616,L,2.98964,-130.577,-4.7091,-4.85768,25.2862,-20.3722,강백호 : 중견수 플라이 아웃
7,Away,노시환,장재혁,260506_203346,3,슬라이더,133.0,0.620612,0.7083,3.364,1.631,R,4.9128,-119.039,-1.92657,-5.19587,21.5755,-37.1787,노시환 : 유격수 땅볼 아웃 (유격수->1루수 송구아웃)
7,Away,페라자,장재혁,260506_202752,4,직구,144.0,0.653375,0.7083,3.25,1.576,L,5.59594,-129.212,-1.2274,-6.04848,23.9146,-19.6179,페라자 : 중견수 플라이 아웃
7,Away,문현빈,장재혁,260506_202948,4,직구,145.0,1.68971,0.7083,3.17,1.537,L,8.12814,-129.177,-6.4586,-7.40427,27.8543,-26.3634,문현빈 : 볼넷
7,Away,노시환,장재혁,260506_203421,4,슬라이더,133.0,-0.123027,0.7083,3.364,1.631,R,1.92654,-118.676,-0.711064,-1.23152,20.6863,-35.99,노시환 : 유격수 땅볼 아웃 (유격수->1루수 송구아웃)
7,Away,페라자,장재혁,260506_202813,5,직구,147.0,-0.3689,0.7083,3.25,1.576,L,2.47651,-132.055,-6.32596,-3.69179,27.4093,-16.1507,페라자 : 중견수 플라이 아웃
7,Home,데일,조동욱,260506_203659,1,직구,147.0,-0.167821,0.7083,3.461,1.678,R,-9.30409,-131.662,-5.29184,13.5183,31.2886,-13.709,데일 : 유격수 땅볼 아웃 (유격수->1루수 송구아웃)
7,Home,한준수,조동욱,260506_203738,1,슬라이더,130.0,-1.06028,0.7083,3.391,1.645,L,-9.40427,-116.269,-3.42708,5.60131,20.7026,-25.9386,한준수 : 볼넷
